Column1;Column2
 Hutangnya sangat banyak ;Otangnga telebat ba?nnya’ 
 Kamu terlalu takut ;Ba?’na talebat tako'  
 Dia takut di dalam kamar ;Dibhi'na tako' e? dâlem kamar  
 Saya termasuk kecil di sini ;Se?ngko’ tamaso' kene' e? diya 
 rumahnya lima buah ;Bengkona lema megghi'  
 Saya membeli sepuluh liter beras ;Se?ngko’ melle? sapolo liter beras  
 Tujuh puluh orang  di dalam kamar ;Pettong polo ore?ng e? dâlem kamar  
 Tiga ratus kambing mati ;Tello ratos embi' mate  
 Rumah dan dapur yang baru dibangun ;Roma ban dapor se? bhuru ebhangon  
  Bapak  ibu  dan anaknya naik perahu ;Eppa'  ebbu  ban anasna nompa' parao 
 Saya atau kamu bisa saja datang ;Senko' otaba ba?’na bisa bhai dateng  
 Dia bukan guru tetapi murid ;Dhibi'na banne ghuru tape moret  
 Membeli atau menyewa tidak menjadi soal ;melle? otaba nyewa taw dha?ddhi soal  
 Tidur dan makan saja kerjamu;Tedung ban ngakan bhai lakona ba?’na  
 Kamu tidak belajar tapi bergurau ;Ba?’na ta' ajhar tape aghaja'  
 Bekerja atau tidak bukan urusan saya ;Alako'a ta' alakowa banne orosanna se?ngko’  
 Orang yang bekerja itu haus dan lapar;ore?ng se? alako rowa pelka' tor lapar  
 Badannya besar tetapi lemah ;Badanna raja? tape geddhur  
 Pandai atau bodoh dilayani seimbang;Penter otaba budhu elajjari satembhang  
 Lembu-lembu dari Sumenep dan dari PaAmekasan baik untuk bibit ;Sape-sape dari Songenep ban dari Pamekkasann bhâghuss kaangghuy bhibhit  
 Saleh tidak di Bangkalan tetapi di Sampang ;Saleh ta' neng e? Bangkalan tape neng e? Sampang  
 Kamu dì luar atau di dalam bukan urusan saya ;8a'na e? lowar otaba e? dâlem banne tang orosan  
 Dua belas dan tiga belas tidak banyak bedanya ;Dubellas ban tellobellas ta' ba?nnya’ bidhana  
 Satu atau dua bagi saya sama saja ;Settong otaba daduwa' mongghu da' se?ngko’ pada bhai  
 Yang datang di pertemuan itu bukan seratus tetapi seratus lima puluh ;Se da?teng e? papanggiyan rowa banne satos tape satos seket  
 Akhmad datang ke sini kemarin dan sekarang ;Akhmad da?teng da' anja ba?’a?ri’ b?n sateya  
 Kamu boleh berangkat sekarang atau nanti ;Ba?’na olle? mangkat sateya otaba dagghi' 
 Berangkatnya bukan dahulu tetapi baru saja ;Mangkaddha? banne bilan tape bhuru bhai  
 Ayah saya guru ;Eppa'na se?ngko’ ghuru  
 Bhurung itu hìnggap di dahan;Mano' rowa nengga' neng e? ranca'  
 Saya membeli baju baru ;Se?ngko’ melle? kalambhi anyar  
 Kambing itu makan daun-daunan ;Embi' rowa ngakan un-daunan  
 Kamu memberi saya buku ;Ba?’na aberri' se?ngko’ buku  
 Bibi menjadi bidan di kota ;Bhibbhi' dha?ddhi bidan e? kotta  
 Wereng adalah penyakit padi yang membahayakan ;Werreng iya areya pannyakeddha padi se? ambhabhajani  
 Akhirnya dia menjadi mulia;Akhrerra dhibi'na dha?ddhi molja  
 Sekarang tanah itu menjadi subur;Sateya tana Ja?re?ya dhaddhu landhu  
  Kantornya di kota ;Kantorra e? kota 
 Garam itu dari Sumenep ;Buja Ja?re?ya dari Songennep  
 Sawahnya lima hektar ;Sabana lema hektar  
 Rumahnya beberapa biji;Romana pan-barampan biggi'  
 Mencuri itu perbuatan yang tidak baik ;Ngeco' reya kalakowan se? ta' bhâghuss 
 Bertamasya itu menyenangkan hati ;Akalenjar Ja?re?ya masenneng ate  
 Mendengarkan musik membuat saya mengantuk ;Ngedingngaghi musik anda?ddhiyaghi se?ngko’ nganto'  
 Menari itu sulit ;Nari Ja?re?ya malarat  
Menyontek itu tidak baik ;Neppa Ja?re?ya ta' bhâghus 
 Bersih itu sesuatu yang menyenangkan ;Berse Ja?re?ya barang se? nyennengngaghi  
 Pandai berbeda dengan jujur;Penter bhidha kalabän Jhujhur  
 Pandai itu tidak mudah ;Penter Ja?re?ya ta' gampang  
  Suci itu agung;Socce Ja?re?ya aghung  
 Panas menyengat dari matahari musim kemarau ;Panas ngella' dari are mosim nemor  
 Damai di hatiku ;Renna e? dâlem tang ate  
 Sepuluh adalah angka genap;Sapolo lya areya ghanep  
 Setengah adalah angka pecahan yang kecil;Satengnga reya angka pecca'an se? kene'  
 Dua belas dapat dibagi menjadi tiga?;Dua bellas kenneng ebagi dha?ddhi tello'  
 Nol di belakang koma tidak adaartinya;Ennol e? budina koma ta?a?’ artena  
 Seratus sebelas sulit dibagi ;Saratos sabellas malarat ebagi  
 Lima dan tiga mudah diingat ;Lema' ban tello' gampang ekenga'e  
 Saya membeli dua buah buku ;Se?ngko’ melle? dumegghi' buku  
 Anak itu memanggil ibunya ;Kana' rowa ngolok ebhuna  
 Ayah membelikan adik sepeda ;Eppa' meleleyaghi ale' sapeda 
 Teman saya memberi saya uang ;Tang kanca aberri' se?ngko’ pe?sse?  
 Adiknya menjadi pegawai di Sumenep ;Ale'na dha?ddhi ponggaba e? Songennep  
 Sepeda menjadi alat pengangkut penting di desa ;Sapeda dha?ddhi alat pangangko' se? parlo e? dhisa  
 Pekerjaannya menjadi sulit ;Lalakonna dha?ddhi malarat  
 Pabriknya makin lama makin menjadi besar ;Pabbrigga sajan abit sajan dha?ddhi raja?  
 Bukan saya tetapi dia;Banne se?ngko’ tape dhibi'na  
 Ayah atau ibu bisa menerima uang itu ;Eppa' otaba ebhu bisa narema pe?sse? rowa  
 Ali tidak bekerja tetapi tidur ;Ali ta' alalakon tape tedung  
 Banyak orang datang dan pulang;Ba?nnya’ ore?ng datang ban mole  
 Bukan hitam tapi putih ;Banne celleng tapi pote  
 Besar dan kecil harus dihitung ;raja? ban kene' kodhu ebitong  
Di sini atau di sana sama saja ;E dinna' otaba e? dhissa' pada bhai  
 Pedagang itu tidak ke pasar  tetapi ke toko ;Dhaghang rowa ta' ka pasar  tape ka toko  
 Kamu mendapat angka tiga dan dua ;Ba?’na olle? angka tello' ban duwa'  
 Dia mendapat angka delapan atau sembilan ;Dhibi'na olle? angka ballu' otaba sanga'  
 Sekarang atau nanti tidak ada bedanya ;Sateya otaba ?a?gghi ta?a?’ bhidha?na  
 temanmu mungkin berangkat kemarin atau tadi ;Kancana ba?’na ngara mangkat ba?’a?ri’ otaba ghella'  
 Di Kalianget banyak garam ;e kalianget ba?nnya’ buja  
 Jalal pergi dengan kakaknya;Jalal ajalan kalaban kaka'na  
 Dengan bekerja keras saya bisa berhasil ;Kalaban alako bherra' se?ngko’ bisa a hasel  
 Orang itu datang untuk bekerja di sini ;ore?ng rowa da?teng kaangguy alako e? diya 
 Dari miskin ke kaya ;Dari mesken ka soghi  
 Dengan mudah dia menjadi kaya ;Kalaban ghampang dibi'na da?ddhi soghi  
 angkanya naik dari tujuh ke delapan ;Angkana onggha dari petto' ka ballu'  
 Sepuluh dibagi dengan dua hasilnya lima ;Sapolo ebagi kalaban duwa' da?ddhi lema'  
 Mesin itu sudah diminyaki ;Messin Ja?re?ya ella eminnya'i  
 Orang yang datang tadi sedang makan nasi goreng ;ore?ng se? da?teng ghella' gi' ngakan nase' ghuring  
 Waktu saya sedang tidur  Tono datang ;Ba?ktona se?ngko’ gi' tedung  Tono da?teng 
 Dia belajar supaya menjadi orang pandai ;Dhibi'na ajhar sopaja dha?ddhi ore?ng penter  
 Anak itu membeli nasi ;Kana' rowa melle? nase' 
 Orang itu dari desa ;ore?ng Ja?re?ya dari dhisa  
 Merokok itu merugikan ;Aroko' Ja?re?ya marogian  
 Orang itu pedagang ;ore?ng rowa dagang 
 Kakak saya ingin mengirimkan surat ini;Tang kaka' ngeremmaghiya sorat reya  
 Orang ìtu mempunyai pekerjaan ;ore?ng rowa andi' lalakon 
 Ibu membuatkan saya baju ;Ebhu aghabha yaghi se?ngko’ kalambhi 
 Dokter membuatkan Ali resep ;Dokter aghabhayyaghi Ali ressep  
 Berjalan-jalan merupakan olahraga ;Lân-jhâlân a ropa'aglti olahraga  
 Pemberiannya merupakan jimat ;Babarrei'na aropa'aghi jimat  
 Perkaranya menjadi sulit ;Parkarana dha?ddhi malarat  
 Warna itu menjadi merah ;Barnana rowa dha?ddhi mera  
 Gurunya dari Inggris ;Ghuruna dari Inggris  
 Radionya di kamar ;Radiona e? kamar  
 Menggambar itu kesenangan ;Aghambar reya bur-leburan  
 Makan itu kebutuhan ;Ngakan reya keparlowan  
 Menunggu itu membosankan ;A-dante' reyaa mabhusen  
 Bekerja itu lebih menyenangkan;Alako reya asennengngaghi  
 Berpikir itu membosankan saya ;Apekker reya mabhusen se?ngko’  
 Mengobati itu memerlukan kesabaran;Nambhai reya marlowaghi kasabbharan 
 Bekerja itu baik ;Alako reya bhâghus  
 Berpikir itu sulit;Apekker reya melarat  
 Meludahi orang itu jelek ;Acopai ore?ng rowa jhuba'  
 Mengobati orang itu baik ;Nambhai ore?ng rowa bhâghus  
 Cantik itu lebih menyenangkan ;Reddhin reya asennengngani  
 Mahal itu menyulitkan ;Larang reya mamalarat  
 Rugi itu membosankan saya ;Rogi rowa mabhusense?ngko’  
 Sakit itu menyulitkan orang ;Sake' reya memelarat ore?ng 
 Sehat itu baik ;Baras rowa bhâghus  
 Rebut itu tidak baik ;Ghighir rowa juba'  
 Satu Juta itu adalah angka ;Sajuta iya areya angka  
 Setengah itu adalah pecahan ;Satengnga iya reya pecca'an  
 Seperlima itu menyulitkan ;Saparleman reya memelarat  
 Tiga belas itu menakutkan ;Tellobellas rowa nako'e  
 Semua menyulitkan saya ;Kabbhi mamalarat se?ngko’  
 Sebagian membingungkan saya ;Saba?gia?n membingngong se?ngko’  
 Sejuta itu banyak ;Sajuta reya ba?nnya’  
 Sepuluh itu genep ;Sapolo reya ghenep  
  Orang itu sakit ;ore?ng rowa sake'
 Kemarin orang itu sakit ;Ba?’a?ri’ ore?ng rowa seke'  
 Sesudah makan orang itu sakit ;Saellana ngakan ore?ng rowa sake' 
 Orang itu sakit kalau dokter tidak memberi obat ;ore?ng rowa sake' kalamon dokter ta' aberri' jhamo  
 Adiknya vang pandai itu guru ;Ale'na se? penter rowa ghuru  
 Adiknya Saleh guru olahraga ;Ale'na Saleh ghuru olahraga 
 Adiknya guru yang mengajar Inggeris di sekolah saya;Ale'na ghuru se? ngajha?r Inggris e? tang sekola'an  
Yang dipilih oleh rakyat harus bekerja sungguh-sungguh ;Se epele moso rakyat kodhu alako ghu-ogghu  
 Siti sakit tetapi adiknya sehat ;Soti sake' tape ale'na baras  
 Saya makan dan minum ;Se?ngko’ ngakan ban ngenom  
 Kamu tidak tidur ;ba?’na ta' tedung  
 Adiknya bukan guru ;Ale'na banne ghuru 
 Orang itu guru ;ore?ng rowa ghuru  
 Orang itu akan pergi ;ore?ng rowa entara  
 Rumah itu batu ;Bengko rowa bato  
 Siapa orang itu?;Sapa ore?ng rowa? 
 Mengapa orang itu?;Araba ore?ng rowa? 
 kapan orang itu akan pergi?;Bila ore?ng rowa entara? 
 Apa rumah itu? ;Apa bengko rowa? 
 Tahir menerima hadiah itu ;Tahir nerema hadiah rowa  
 Saudaranya mendosai dia ;Taretarnna adhusae dhibi'na  
 Hadiah itu diterima oleh Tahir ;Hadiah rowa etarema ban Tahir  
Dia didosai oleh saudaranya ;Dhibi'na edhusae ban taretanna  
 Rumah saya kayu jati ;Bengkona se?ngko’ kayu Jahi  
Kakak-kakak saya semua bersekolah di sana ;Kaka'-kaka' se?ngko’ kabbhi asakola e? dissa'  
Pengairan di ?aerah ini kurang baik ;Pangairan e? daerah dinna' korang bhâghus  
 Yang punya uang banyak tidak tentu senang ;Se andi pe?sse? ba?nnya’ ta' tanto jha' senneng  
 Bapak sakit keras ;Eppa' sake' keras 
 Kamu harus ke luar ;Ba?’na kodhu kalowar 
Dosa saya telah diampuni ;Dhusana se?ngko’ ella eampone  
 Melakukan pekerjaan itu adalah perbuatan yang baik;Ajhâlânagi kalakowan Ja?re?ya lalakon se? bhâghuss  
 Menyakiti orang itu adalah dosa besar ;Nyake'e ore?ng Ja?re?ya dhusa se? raja?  
Orang yang datang tadi sedang makan;ore?ng se? da?teng ghella ghi' ngakan  
Rumah yang dibangun tahun yang lalu terbakar ;Bengko se? ekagha?bay taon jhung ada'an taobbha?r  
 Bapak bekerja di perusahaan yang baru didirikan ;Eppa' alako e? perusahaan se? ghi' baru epaddek  
 Kendaraan yang dipakai telah rusak ;Katompa'an se? eangguy la rosak  
Rumah yang dibangun tahun yang lalu terbakar ;Bengko se? ekagha?bay taon jhung ada an taobbha?r  
 Yang dipilih oleh rakyat harus benar-benar bekerja ;Se epel maso rakyat kodhu alako ghuongghu  
Yang punya uang banyak tidak tentu senang ;Se andi gesse ba?nnya’ ta' tanto jha' senneng  
 Bapak dan bu memberi saya uang ;Eppa' ban ebhu aberri' pe?sse? ka se?ngko’  
 Saleh atau adiknya harus keluar ;Saleh otaba ale'na kodiu kalowar  
 Jalal datang waktu saya sedang tidur ;Jalal da?teng ba?ktona se?ngko’ ghi' tedung  
 Adik saya bekerja karena perlu uang ;Ale'na se?ngko’ alako polana parlo pe?sse?  
 Anak itu membeli buku yang diperlukan olehnya ;Na'-kana' rowa melle? buku se? ekaparlo dhibi'  
 Bapak membayar orang yang bekerja di sini ;Eppa' ma?ja?ri ore?ng se? alako e? diya  
 Ibu membeli yang diperlukan olehnya ;Ebhu melle? se? ekaparlo dhibi'  
 Saya memilih yang saya senangi ;Se?ngko’ mele se? e?kasennengnge? se?ngko’  
 Bapak memberi uang kepada orang yang bekerja di sini ;Eppa' aberri' pe?sse? ka ore?ng se? alako e? diya  
 Ibu membelikan Siti baju yang bagus sekali ;Ebhu mellèyaghi siti klambhi se? bhâghus parana 
 Orang itu memberi uang kepada yang bekerja di sini ;ore?ng rowa aberri' pe?sse? ka se? alako e? diya 
 Ibu mencarikan bapak makanan dan minuman;Ebhu nyareyaghi eppa' kakanan ban enoman  
 Dia menjadi orang yang berguna bagi masyarakat ;Dhibi'na dhäddi ore?ng se? aghuna kaangguy rakyat  
 Jalal menjadi yang diinginkan ibunya ;Jalal dha?ddhi sapangaterrona ebhuna  
 Saleh dan Siti menjadi guru dan murid ;Saleh b?n Siti dha?ddhi guru b?n moret  
 Pemerintah memilih dia menjadi wakil yang mempunyai kekuasaan tinggi ;Nagha?ra? mele dhibi'na dha?ddhi ba?kke?l se? andi' kakoba?saan tengghi  
 Ibunya punya keinginan Siti rajin dan pandai;Ebhuna andi' pangaterro Siti bajheng ban penter  
 Saya pergi ke pasar dan kehujanan di jalan ;Se?ngko’ entar ka passar ban ka ojhanan e? jhâlân  
 Gurunya dua atau tiga;Ghuruna duwwa' otaba tello' 
 ArIf pandai tetapi Sutran lebih pandai lagi ;Arif penter tape Sutran lebbi penter pole  
 Siapa yang datang tidak perlu ;Sapa se? da?teng ta' parlo  
 Negara menghukum orang yang tidak jujur ;Nagha?ra? ngokom ore?ng se? ta' jhujhur  
 Orang itu akan berangkat kalau sudah punya uang ;ore?ng rowa mangkaddha? mon la andi' pe?sse?  
 Adik saya bekerja karena perlu uang ;Ale'na se?ngko’ alako polana parlo pe?sse?  
 Saya pergi ke kantor meskipun sedang sakit ;Se?ngko’ ka kantor maskeya ghi' sake'  
 Idris belajar supaya menjadi orang pandai ;Idris ajha?r sopaja? dha?ddhi ore?ng penter  
 Bapak datang waktu saya sedang tidur ;Eppa' da?teng ba?ktona se?ngko’ ghi' tedung  
 Orang itu dapat berlari seperti kuda ;ore?ng rowa bisa aberka' akanta jharan  
 Adik saya pergi ke pasar setelah makan ;Tang ale' entar ka passar saellana ngakan  
 Kamu harus belajar sebelum tidur ;Ba?’na kodhu ajhar sabellunna tedung  
 Tanah di sini gamping ;Tana dinna' ghamping 
 Gadis cantik ini adalah mahasiswa ;Babine' raddin Ja?re?ya mahasiswa  
 Mesin ini sedang berjalan ;Messin Ja?re?ya seddheng ajhâlân  
 Anak itu menendang anjing saya ;Na'-kana' Ja?re?ya nandu' pate'na se?ngko’  
 Adik membaca buku dan surat-kabar ;Ale' maca buku ban sorat kabhar  
 Ibu membelikan Saleh baju baru;Ebhu mellèyaghi Saleh kalambhi anyar  
 Ibu membelikan Saleh baju dan sepatu ;Ebhu mellèyaghi Saleh kalambhi ban sapatu  
 Anak itu menjadi pandai sekali ;Na'-kana' rowa dha?ddhi penter parana  
 Jalan -jalan di sini menjadi sempit dan ramai ;Lân-jhâlân e? diya dha?ddhi cope' b?n ramme  
 Guru itu menganggap Saleh pandai sekali ;Ghuru Ja?re?ya ngangghep Saleh penter parana  
 Hakim menyatakan saya benar dan jujur ;Hakim ngoca' se?ngko’ bhender b?n jhujhur  
 Siapa yang dapat menebak mendapat hadiah yang berharga ;Sapa se? bisa nebbhak olle? hadiah se? argha  
 Yang bersalah dalam perkara ini telah mendapat hukuman semestinya ;Se sala dâlem perkara reya la olle? okoman se? samastena  
 Saya memberi tahu ke bapak sesudah saya keluar dari SMA ;Se?ngko’ aba?la? ka eppa' saellana se?ngko’ kalowar dari SMA  
 Saleh bekerja di perusahaan yang baru didirikan ;Saleh alako e? perusahaan se? ghi' bhuru epaddek  
 Kamu bicara seperti anak kecil ;Ba?’na acaca akanta na'-kana' kene' 
 Ibu memberi makan kepada saya supaya saya tidak lapar ;Ebhu aberri' ngakan ka se?ngko’ sopaja se?ngko’ ta' lapar  
 Saya mau berangkat kalau sudah punya uang ;Se?ngko’ mangkaddha? mon la andi' pe?sse?  
 D?a pergi ke kantor meskipun sedang sakit ;Dhibi'na ka kantor maskeya ghi' sake' 
 Saya memilih orang yang saya senangi;Se?ngko’ mele ore?ng se? e?kasennengnge? se?ngko’  
 Negara menghukum yang tidak jujur ;Nagha?ra? ngokom se? ta' jhujhur 
 Saya memberi uang kepada orang yang bekerja di sini ;Se?ngko’ aberri' pe?sse? ka ore?ng se? alako e? diya  
Dia ingin menjadi orang yang berguna bagi rakyat ;Dhibi'na terro dha?ddhiya ore?ng se? aghuna kaangguy rakyat  
 Saleh menjadi yang diinginkan oleh ibunya ;Saleh dha?ddhi sapangaterrona ebhuna  
 Pemerintah memilih dia menjadi wakil yang mempunyai kekuasaan tinggi ;Nagha?ra? mele dhibi'na dha?ddhi ba?kke?l se? andi' kakoba?saan tengghi  
 Rumah ini dijual  dan orang itu yang membelinya ;Bengko reya e?jhuwa?l ban ore?ng rowa se? melle? 
 Hasan telah pindah  atau saya yang tidak mengerti ;Hasnn l? ngalle otabana se?ngko’ se? ta' ngarte  
 Saleh pandai  tetapi Jalal lebih pandai lagi ;Saleh penter tape Jalal lebbi penter pole 
 Orang yang datang tadi sedang makan  dan dia akan berangkat ;ore?ng se? da?teng ghella' ghi' ngakan  ban dhibi'na bha?kal mangkaddha?   
 saya setuju yang dipiih oleh rakyat  tetapi yang dipilh oleh rakyat harus bekerja sungguh-sungguh;Se?ngko’ setuju se? epele moso rakyat  tape se? epele moso rukyat kodhu alako ghuongghu  
 Orang itu dapat berlari seperti kuda  atau berjalan seperti lembu ;ore?ng rowa bisa berka' akanta jharan otaba ajhâlân akanta sape  
Apa boleh saya pergi ke sini?;Apa olle? se?ngko’ entar da' enja? 
 Apa sudah lama kamu ada di sini?;Apa la abid ba?’na bada neng e? diya? 
 Apa yang tidak diketahui?;Apa se? ta' la ekataowe? 
 Siapa Yang datang dari desa?;Sapa se? da?teng dari dissa'? 
 Bila Jalan datang??;Bila Jalal da?teng? 
 Berapa harganya ini?;Barampa arghana reya? 
 Bagaimana orang itu?;Baramma ore?ng Ja?re?ya? 
 Hawanya terasa panas  bukan? ;Hawana arassa panas  ta'inya?  
 Dosanya besar sekali  bukan?;Dhusana raja? parana  ta'inya? 
 Sungai itu tidak banyak kotorannya ;Songay Ja?re?ya ta' ba?nnya’ kotoranna  
 Gilirannya bukan nomor lima ;Ghiliranna banne nomeor lema'  
 Sapulah rumah ini!;Sapowe roma reya! 
 Ambilkanlah baju itu;Kala'aghi kalambhi rowa! 
 Ali didosai oleh saudaranya ;Ali edhusae moso teretanna  
 Rumah itu telah dibangun oleh bapak ;Bengko rowa la ekaghay moso eppa'  
 Jangan membuat seperti itu!;Jha' aghabay kanta Ja?re?ya! 
 Jangan tidur di sini!;Jha' tedung 6 d?ya! 
 apa kamu tidak mendengar kabar?;Apa ba?’na ta' ngeding kabhar? 
 Apanya yang tidak baik?;Apana se? ta' bhâghus? 
 Mengapa kamu tidak datang?;Arapa ba?’na ma' ta' dateng? 
 Apa rumah itu telah dibangun oleh bapak??;Apa bengko rowa l? ekagha?bay moso eppa'? 
 Apa yang disengangi oleh ibu?;Apa se? e?kasennengnge? moso ebhu? 
 Anak itu tidak disenangi oleh kawannya ;Na'-kana' rowa ta' e?kasennengnge? moso koncana  
 Kotoran ini tidak akan saya buang di sini;Rombu reya ta' ebuwanga e? diya moso se?ngko’  
 Apa pekerjaan itu tidak diketahui?;Apa lalakon rowa ta' ekataowe? 
 Apanya yang tidak kamu senangi?;Apana se? ta' e?kasennengnge? moso ba?’na? 
 Mengapa kuda ini tidak diberi makan?;Arapa jharan reya ma' ta' eberri' ngakan? 
 Berapa yang tidak disenangi oleh dia?;Barampa se? ta' e?kasennengnge? moso dhibi'na? 
 Di rumahnya  Salam mempunyai lebah dan tempatnya ;E bengkona Salam andhi' nye?rowan ban baddhana  
 Lebah tadi sering mengeluarkan madu ;nye?rowan ghella' seggut kalowaran maddhu  
 Hasilnya madu oleh Salam ditempatkan di periuk besar digantung ;Olle?na maddhu ban Salam ebhaddhai polo' raja e?gha?ntong  
  Bila sudah musim madu mahal  madu itu dibawa ke kota ;Bila la mosem maddhu larang  maddhu Ja?re?ya e? ghiba ka kotta  
 Dijual dengan harga mahal ;E jhuwa?l kalaban argha? larang  
 Di bawah madu yang digantung ada meja dan kursi tempat duduk Salam setiap hari ;E babana maddhu se? e? ghantong bada meja ban korse kato ju'anna Salam sabbha?n are?  
 Di satu hari Salam duduk-duduk di kursinya sambil memegang tongkat;E settong are Salam ju'-toju' e? korsena sambi negghu' tongket  
 Yang sangat bagus hasil diberi paman/bibinya;Ce' bhâghusssa  olle?na eberri' majhâdi’na  
 Tongkatnya digosok-gosok sampai mengkilat ;Tongkeddha? esot-kosot sampe' ngennyer  
 Waktu malam Salam tak bisa tidur  memikirkan bagaimana memperoleh kesaktian dari tongkatnya tadi ;Ba?kto malem Salam ta' bisa tedung  mekker baramma se? terro kajha?ja?n dari tongkeddha? ghella?'  
 Dirinya ingin sakti  ingin kaya ;Aba?’na terro sakte?ya  terro soghiya  
 ingin kaya  kalau sudah kaya ingin beristerikan anak raja  ;Terro soghiya  mon pas soghi terro abineya ana'na rato  
 Bila sudah menjadi menantu raja  lalu ia dapat menjadi raja;Bila la da?ddhi mantona rato  pas bisa a ghante dha?ddhi rato 
 bila mertuanya sudah meninggal ;Bila mattowana la mate  
 Waktu siang pagi Salam duduk-duduk lagi di kursinya sambil berangan-angan yang ingin kaya ;ba?n-aba?n lagghu Salam ju'-toju' pole e? korsena sambi ngen-ngangen se? terro soghiya   
 Dalam pikirannya lalu sambil berkata;Dâlem pekkerra pas sambi ngoca' 
 Madu yang digantung itu oleh saya besok akan dijual ke pasar ;Maddhu se? e? gha?ntong rowa ban se?ngko’ lagghuna e?jhuwa?la ka pasar  
 Hasilnya uang akan díbelikan telur dan ayam induk semua ;Olle?na pe?sse? e?kabelliya tellor kabbhi ban ajam pangorbhi  
 Nanti pulangnya dari pasar telurnya dieramkan dijadikan anak ;Dagghi' molena dari pasar telorra e?pae?rremme? e?padha?ddhiya budu'  
 Ayamnya semua akan dijual lalu akan dibelikan kambing  kambingnya nanti diternakkan ;aja?mma kabbhi e?jhuwa?la pas e?kabelliya embi'  embi'na dagghi' epabudu'a  
 Anaknya bila besar akan dijual semua lalu akan dibelikan sapi ;Budhu'na bila raja e?jhuwa?la kabbhi pas e?kabelliya sape  
 Sapinya nanti blla beranak-pinak banyak  lalu akan dijual;Sapena dagghi' bila adu'-budu' ba?nnya’  pas e?jhuwa?la  
 Hasilnya akan dibelikan rumah yang bagus dan isinya yang lengkap ;Olle?na e?kabelliya bengko se? bhâghus ban essena se? ghenna'  
 Bila sudah mempunyai rumah bagus dan isinya lengkap  saya lalu akan berjalan-jalan di depannya keraton ;Bila la andhi' bengko bhâghus ban essena ghenna'  se?ngko’ pas lân-jhâlânna e? ada?'na karaton  
  Bila saya sudah berjalan-jalan di depannya keraton  saya lalu akan menirukan pakaiannya pangeran atau anak raja  dan putrinya raja waktu saya berjalan-jalan lalu melihat ke saya ;Bila se?ngko’ la lân-jhâlânan e? ada?'na karaton  se?ngko’ pas ne?roaghiya pakeyanna pangeran otaba ana'na rato  ban pottre?na rato ba?kto se?ngko’ lân-jhâlânan pas nangale? ka se?ngko’  
 raja lalu memanggil ke saya ;rato pas ngolok ka se?ngko’  
 Saya akan mendekat sambil berjalan berjongkok dan akan menyembah ;Se?ngko’ nyandherra sambi ajhâlâna nengkong tor nyemba'a  
 Kalau lalu raja bertanya  putrinya lalu melihat ke saya ;Mon pas rato atanya  pottre?na pas nangale? ka se?ngko’  
 Katanya raja  siapa namanya kamu  dan kamu ini anaknya siapa?;Dhabuna rato  sapa nyamana ba?’na  ban ba?’na reya ana'na sapa  
 Dan asal dari mana kamu ini? Kok sangat ganteng dan gagah  ;Ban asal dari dimma ba?’na reya? Ma' ce' ga?ntengnga ban ga?ga?'  
 Saya akan menjawab   Hamba putra pangeran Sideng Puri ;Se?ngko’ aja?wa?bha  dha?lem pottra pangeran Sideng Puri  
 Nama hamba Pangeran Bagus Dalam dari negara Nyamandikan  ;Nyama dha?lem Pangeran Bhâghus Dâlem da?ri nagha?ra? Nyamandhikan  
 Raja tentu lalu mengangguk  ;Rato tanto pas aonggu'  
 Oh  bagus sekali kamu  namanya kamu ya bagus juga ;Oh  bhâghus ongghu ba?’na  nyamana ba?’na iya bhâghus keya  
 Saya kok amat ingin yang akan bermenantukan kamu ;Se?ngko’ ma' ce' terrona se? amantowa ba?’na  
  Raja akan bertanya;Rato atanya'a 
  Hai  orang bagus dan ganteng  ;He  reng bhâghus tor ga?nteng 
 Apa kamu sudah punya istri dan anak??;Apa ba?’na la andi' bine? ban ana'? 
 Saya akan menjawab kepada raja  Hamba masih belum mempunyai istri  masih perjaka betul-betul ;Se?ngko’ aja?wa?bha ka rato  dha?lem ghi' ta' ghaduwan bine?  ghi' lanceng-kacapeng   
 sambil saya menyembah ;Sambi se?ngko’ nyembha'a 
 Raja lalu bertanya lagi  Apa kiranya kamu mau diambil menantu oleh saya;Rato pas atanya pole  apa kerana ba?’na enda' e?kala' manto bi' se?ngko’? 
 dikawinkan dengan putri saya? ;Epobuwa bi' tang pottre?  
 Beginilah Salam berangan-angan sambil melamun ;Akanta Ja?re?ya Salam ngen-ngangen sambi ngalamon  
 ingin sekali menjadi menantu raja ;Tero ongghu dha?ddhiya mantona rato  
 Lama-lama Salam jadi berpikir  jawabannya saya tak akan mau ;bit-abit Salam dha?ddhi me?kke?r  ja?wa?bha?nna se?ngko’ ta' enda'a 
 Tongkat akan diputar dahulu ;Tongket e?poterra gha?llu  
 Waktu itu juga Salam lalu tiba-tiba bangun dari kursinya  tongkatnya diputar berputar-putar;Ba?kto Ja?re?ya keya Salam pas jhâghâ dari korsena  tongkeddha? e?poter adhel-peddhel  
 Tetapi Salam malang ;Nangeng Salam palang  
 Duduk lagi di kursinya  tongkatnya diputar-putarkan lalu kena ke madunya yang digantung di atasnya kursinya ;Toju' pole e? korsena  tongkeddha? ebeng-abengaghi pas teppa' ka maddhuna se? e?gha?ntong e? attassa? korsena  
 Periuknya pecah  madunya tumpah mengalir ke kepalanya Salam  ;Polo'na bella?  maddhuna dumpa ngaleccer ka cetaggha Salam  
 Salam lalu diam termenung;Salam pas neng-enneng cengngeng 
