Indonesia,Madura
rumah ya terbakar itu apia semakimeluas ke rumah ya ada di kakiria,roma sè kobo rowa apoyya alatlat ka roma sè bâḍâ è kaakacèrra
heak pergi kema kamu dik?,èarra ka kamma bâ' lè'?
"dik! kamu kok tidak berhei-hei meis, i akasaya pilikupimu.","lè'! bâ' ma' ta' ḍhik bu-ambu sè ès, ḍâgghi bi' sèko' èkopessa kopèa"
"sebelum digembala, kambia diikat deatali dilehera.",sabelluèowa embi' ètalèè lè' èrra
"kopia terlalu mas, gulaa terlalu baak","ghubhi talèbât màs, ghulâ bâya' ghâllu"
awas jatuh dik lewat di tegala kare becek semuaa,"sèa' labu lè' lèbât è tabwi, pola ledḍuk kakabbhi"
"jauha haa sampai ke Pamekasa melewati desa Camplo, saat disayakabila bermusuhakare sudah terlaur lama berkumpul bersama.","jhâu ghâPamekkasâ alèbâdhi dhisa campio, èmaa sè pas arosaghâkarè abit sè alo-polo "
maga ya dipetik kemariitu sekara meadi terlalu masak.,"pao sè èpolo bâri' rowa, satèya dhâddhi lebbâs"
"suguh lebat buaha juwet, membiru wara, iler iimeicipia.","lebbhâ' oghu buwâ dhuwâ', obuo bâma alècèr terro rassa"
"kalau mau meari ikapia data saja ke kampu lebak, disa jika pagi hari baak ora megu para layaya baru data mekap ikadari laut.","moarèa jhuko' pèâ, èar bhâi ka kampo lebbhâk, èḍissa moghu-lagghu bâya' orè aḍâè' rè majâ sè bhuru ḍâte amajâ"
kucia masuk lewat piu belaka,kocèa lebbhu lèbât labâ buḍi
sapia dimasukkake dalam kaaa,sapè epalebbhu ḍâ' kaâa
tercebur ke dalam sumur,talebbhu ka ḍâlem somor
sebelum huja aiya bertiup kea tidak teu araha.,sabellua ojhâ aèa abu-lebbu
taru kuci baak meotori sarua.,taè kocè abhitlèbhit ka saroa
buru maar kalau membuat sara saat bagusa,ma' bètak moaghâbây lèbucè' gâea
buru emprit bersara di atas pohoapi-api,ma' keddhi' alèbuè attas bhuka pè-apè
"saat meekatikah lakua, mas seumaya","lèbur oghu tèka ghuli, màs pamèsemma"
ciiu ya bermatakakecubu disei oleh tamua ayah,ta sello' sè amata kecobhu èkalèburi tamoyya rama
ora-ora ya data dari maa gara saat tertarik meokerapasapi Madura,rè-orè sè ḍâte ḍâri maa ghârâ lèbur oghu ̀ghu kerrabhâsapè Madhurâ
film di TV tadi malam tidak merik sama sekali,filem malemma è TV ta' lèbur sama sakalè
orkes dadut di alualubaak disei oleh ora-ora dari desa,orkès ḍaḍut è loal obâya' èkalèburi rèorè ḍâri dhisa
"bila meearkalagu Madura, saya saat meeia",bilâ èḍiaghi laghu Madhurâ sèko' cè' lèburrâ
"ak-ak laki daperempuaberse-se di teah halama saat malam dibawah sir rembula bertepuk taaberteriak-teriak kegiraa Hore!! ilah lagu kiduaya, lagu ku tapi saat merik!!.","laè ka' bâmahâ pottrè, èmaèghu è tàya bâjâ malem ètèra' bulâ pa'-kopa'aaorak kapèraghâ Orè!! rèya' kèjhuaa laghu ko cè' lèburrâ!!"
dikatakakepada seseora ya suka membuka aib keluargaa seiri.,lecca' taè è ḍâlem bhâtok 
"jaalewat disi, kare masih licin","jhâ' lèbât è kaa', pola ghi' lècèn"
berliur iimerasai.,alècèr terro rassa
basepedaa meletus di teah jalan,basapèḍa aleddhu'è tea jhâlân
kamar adikku saat luas dibaikakamarku seiri.,kamarra ta alè' cè' legghâ ètèmbhâ ta kamar dhibi'
sekara saya merasa lega meear kamu selamat dari tabraka,"satèya sèko' arassa legghâ, èḍ i bâ' slamet ḍâri tubru'ân"
"legi, pahi, po wage, kliwo","legghi, paè, pa bâghi, klèbun"
ak itu kalau tidur melikar seperti ular.,ka' rowa motègu malekker akaḍe olar
air mataa meleleh baak di pipia,aè mata alèllèaèpèpè
bayia terlelap dalam geoaibua.,bhâji' talellep èembhâembu'
perahua tegelam di teah lauta,parao talellep è tea saghârâ
kalau tidak tahu bere jaadekat-dekat di suai i bisa tegelam,"mota' tao alagoy jhâ' ma'-semma' ḍâ' soay, ḍâgghi' bisa talèllep"
kemariada ora mati tegelam di dam.,bâri' bâḍâ orè matè talèllep è eḍḍam
saya berada di dalam rumah,sèko' bârjâ è lem ror
di dalam kamar mai,è lem jeḍḍi
uaa ditaruh di dalam kaoa agar tidah jatuh.,pèssè èsabâ'è lem kaoa ma' lè ta' ghâgghâr
aka tidak mau pula kare tidak dibelikamain,a' ta' lem molè pola ta' èmellèaghi èmaèn
tidak mau berhei meis.,ta' lem ambu sè ès
bayi ya baru lahir biasaa kepala bagiaatasa masih lembut,"bhâji' sè ghi' bhuru lahèr biyasa, bumbua ghi' lembu'"
ora tua ya terhaut disuai itu mati lemas kare tegelam.,orè towa sè talao' èsoay rowa matè lemmes amarghâ talèllep
"suguh lembut putri Madura, cara berjalaya bagaikameti kele.","lemmes oghu pottrè Madhurâ, pajhâlâa ̀tèr kalè"
temasaya ya bertubuh kurus itu kalau meerjakasesuatu saat lamban,"ta kaa sè koros rowa, moakolakolèmmèt oghu"
bau ketiaka saat apek.,bâu lèmoa cè' amea
jaaterlalu kurus dajaaterlalu gemuk.,jhâ' ros-koros ghâllu bâjhâ' po-lempo ghâllu
dima tempat tigal aa?.,è ka' ḍimma palèghi paheea
"guluaya di pega, bea jaasampai kusut.","ghuluaa tegghu', bola' jhâ' pasalèka'"
kepala serasa puye setelah berputar-putar,cèṭak arassa lele samarè ater-poter
leaya patah kare terjatuh pada saat bermaisepak bola di alualu,leea poto pola labu amaètembhu è loalon
kepa kamu jika bertemu deaaku meleos-leos?.,arapa bâ' motatemmo bi' sèko' ma' os-palèosâ
"saya muak melihat ak itu, kare saat kal.","sèko' leyer atèla' ka' rowa, amarghâ cè' bhleerra"
kuaha lupa tidak dipaskasampai meeal berleir.,kowa loppa ta' èahel dhâghâ dhâddhi lèat
telapak kaki melepuh setelah meiak ara pas.,pa'-dhâpa' soko maleè saella ̀ddhâ' are pas
kepalaa botak mekilat dalici,cè' agghâ bhutak lèè
"air dikamar mai meluap, keraaira lupa dimatika","aè è jeḍ.ḍi alèpèr, eppèddhâ loppa ta' èpatèè"
bayia terlelap dalam geoaibua.,bhâji' taleplep èembhâembu'
pelipur hati ya sesara.,palèpor atè sasara
ora itu saat piar dalam meari ua.,orè rowa leppè' oghu moarè pèssè
bila memiaki rambut jaadilumuri sampai seperti basah kuyup.,moamèya' obu' jhâ' pos-leppos
dilirik istri ora,èlèrèk bì orè
"jaasuka melirik istria ora, jika suamia tahu bisa berbahaya","jhâ' rèk-lèrèghâbì orè, moètemmo lakè bisa bhâbhâjâ"
"meear aka mati ditabrak mobil, ibua lemas duduk di tah kare tidak kuat mehaperasaaya.","èḍi a' matè ètabra' mobil, èbu' alèrpek èta amarghâ ta' kowat haprasaaa"
kalau berbicara jaasambil membelalak-belalakkamata.,moacaca jhâ' sambi rek-palerregghân
ber itu kepuaasaya.,lerres pàka ghâḍhuâa abdhi
cabai rawit meskipukecil tapi saat pedas.,cabbhi lètè' makko kè̀' peddhis oghu
ikaya meleti-leti masih hidup di dalam keraa,jhuko' atè' lettè' ghi' oḍi'è ḍâlem krahâ
udaa meleti-leti di jari,oḍea tè'-lettè'aè jhâri
belala di atas daubelimbi itu meloat-loat.,bâlâ èḍâua bhlimbhi rowa tè' lettè'an
pada waktu megore ikadi waja taau ke percikamiak gore ya pas.,prappa' uri jhuko'è bâjhâ ta ta èlettè'è èya' ghuri sè pas
kaca tipis pasti retakjika terke api,kaca motèpès pastè alettè' moèkeè apoy
besar-besar irisadagia.,ṭok' malerṭṭok dhâghia
"saya tidak bisa meuah dagia kare liat, bisa-bisa gigi saya bisa copot","sèko' ta' bisa mappa' dhâghia pola lèya', la-sala ta ghighi bisa colpak"
"saya tidak bisa meuah dagia kare liat, bisa-bisa gigi saya bisa copot.","sèko' ta' bisa mappa' dhâghia pola liya', la-sala ta ghighi bisa colpak"
belum selesai,ghi' lo' marè
laria tidak cepat,paberka' lo' ghâa
ora Ci bila berbicara masih pelo.,orè Cè moca'-oca' ghi' lo'la'
buah kelapa baak berluba digigit tupai,buwâ èor abâ-lobâ èkèkkè' ebbhu'
"sesuguha rahasia i jaasampai ora laimeetahui, tapi kamu sudah terlaur meatakaya.","saoghu rosèya rèya jhâ' sampè' orè laètao, tapè bâ' taloccor oca'"
"jaabercaa, saya tidak suka","jhâ' co-maloco, sèko' ta' lèbur"
pali ek makasale deakuah lodeh.,palè amaakasaté akowa loḍè
kerisa berluk lima.,kerrèssâ aellok lèma'
mehilakaluka di hati,masèma loka è atè
"bila berbicara berhati-hatilah, jaasampai melukai perasaaora lain","moacaca bi' tè-atè, jhâ' kasè alokaè atè orè laèn"
taaya luka terke pisau.,taa loka èkeè togi'
ak ayama diberi makamelukut,pètè' èpakà maloko'
buru didalam sakar itu jaadulu diumbar kare masih liar.,ma'è ḍâlem koro rowajhâ' ei lombhâr pola ghi' ghessèt
didatai air bair.,èkalompaè aè bâ'â
hutaa sudah dilusi,otaa ella marè èlosè
jika mempuai huta harus dilusi,moai' ota kodhu losè
buru emprit berloatadirai sambil berkicau berderai-derai.,ma' keddhi' ca'-loa'aèattas raa' sambi ocè acècot
dikatakakepada ora ya tidak meapatkajalakeluar atau tidak bisa meelesaikamasalah ya dihadapi.,ta' mmo loelloa
dari lubuk hati ya pali dalam.,ḍâri loka atè sè palè ḍâlem
kepalaa melook-look dari jeela.,cètagghâ aoloo gâri jeèla
kakek membeli bambu lima loor uuk membuat kaa kambi.,emba obâè perrè lèma lohur kaaghuy abhâḍhi kahâa embè'
wara mulai meluur,bâr la molaè loor
kepalaa botak mekilat dalici,cèµgghâ bhutak loo
luput membak tupai,lopot sè ̀mba' ebbhu'
terhiar dari kesusahaatau peakit,lopot bâjâ sabâ
saya kelupaameembalikabuku.,sèko' kaloppaasè mabâliâ buku
"kalau memasak dagi ya lama sampai empuk, supaya mudah daek memakaya.","moamassa' dhâghi palorḍu, ma' lè ghâmpa bâamamoèkakan"
tuukkasaya jalaya lurus,toddhuaghi kaulâ jhâlâsèloros
meari bata pohowaru ya lurus uuk digukasebagai tokat pramuka,arè bhuka bâru sè loros kaaghuy tokeddhâ pramuka
celaa melorot ke bawah,calaa alorot ka bâbâ
war bajua sudah mulai luur,bâr klambhi la molaè loso
ciiya disepuh emas cepat luur.,sello' sè èsempo emmas ceppet loso
taaya mahir meulek bumbu.,taa cè' loṭè' sè ocek lappa
di luara rumah.,di lowarra rama
rumaha besar daluas.,roma rajâ bâloas
deama Allah Ya Maha Peasih lagi Maha Peaya,bit asma èpoAllah sè Maa Mora tor Asè
Ya Maha Kuasa,Sè Maa Kobâsa
Ya Maha Suci,Sè Maa Soccè
"kepa tidak mau berbicara, mukisaya pua kesalaha","arapa ma' ta' ghellem acaca, la-pola sèko' ai' sala?"
kepa luka? ke pisau ya?.,ma' loka? keè todi' yâ?
kok begi kejadiaya?.,ma' bâriyâ kadhâddhiâa?
kalau bekerja di tambak jaalupa memakai sepatu karet biar tidak luka tertusuk duri,"moalako è tambhâ' jhâ' kasè' loppa aghuy sepatu karèt, ma' ta' loka tacoco' ḍuri"
buh ular itu agar tidak ke patuk.,patèè olar rowa ma' ta' keè taa'
"Pak! saya mia uaa, mau beli mai",ma'! sèko' mèaa pèssè kaahuy mellèa èmaèn
wajaha memerah kare tubuha saat pas,mowa ma'ar amarghâ bhâdhâa cè' passâ
wajaha memerah kare saat marah,mowa ma'ar amarghâ cè' pegghellâ
pipia merah mero kare saat malu.,pèpè ma'ar amarghâ katoḍusân
saat bersemaat iimeawi wata ya caik.,ar' ma' sè terro kabia moso rè bì' raddhin
jaaterlalu ke bawah.,jhâ' bâ-mabâ ghâllu
tiap pagi bapak membaca korasambil mim kopi,sabbhâlagghu rama mâca kora sambi èm kopi
adik membaca buku cerita.,alè' mâca buku dhuè
"bara seperti i ada dua macam, wara sama tapi saat berbeda","bhârâ kaḍi' rèya bâḍâ ḍu macem, bâma taḍâ' buwâa, tapè cè' abhidhâ"
adika belum maka cepat disuapi agar tidak meis lagi.,"alè' ghi' ta' maem, dhuli dhulâ sopajâ ta' ès polè"
ayo meari kepiti di tambak.,maju arè pètè è tambhâ'
memberi makasapi dearumput,makà sapè bi' rebbhâ
memberi makaayam deajagu.,makà ḍjâm bi' jhâghu
meskipuhujaderas aku haros pula kare adikku sakit,"makkè ojhâdherres, sèko' kodhu molè pola ta alè' sakè'"
"walauputidak ada hubuakeluarga, ora itu saat baik terhadap ora tuaku.","makkè bâè lâbhâlâ, orè rowa cè' beccè' dâ' ta rè towa"
apa ya dimaksud saya tidak meerti,apa sè èmaksod sèko' ta' artè
"jaasalah saka, saya tidak pua maksud apa-apa","jhâ' sala saka, sèko' ta' ai' maksod paapa"
"jaakeliru, taakaapa maksuda.","jhâ' kalèro, taaaghi apa maksoddhâ"
tempat peimpakas atau da.,"bâitul mal, baitul mal"
disuruh duduk malah berdiri,èsoro toju'mala ddhek
"selesai mim obat dikira akalebih baik, malah bertambah parah peakita","marè èm obhât èra dhâddhi beccè', mala atambâ sarah paakèddhâ"
semoga kita semua diampu oleh Allah SWT.,malar moghâ kaulâ sare paheeasadhâjâ èsaporaaghi sare Allah SWT
saat sulit uur meupas kelapa kare kulita sudah saat keri.,cè' malaraddhâ sè ombi' èor pola kolè' ella kerrè
"bua melati putih, baua harum mempeso.",kembhâ malaṭè bâu ro'om apèotè
tetagaku perh kecuriapada waktu sia hari,ta tataghâ tomakemalèaè bâjfi sèya
tidak berhei uuk meuri,maler sè èco'
terus-merus meapatkaua.,maler sè ollè pèssè
bila disuruh-suruh saatmalas,moèro-soro pas cè' malessâ
jika seda hujaseperti i saat maias uuk keluar rumah,mohâojhâkaa rèya pas cè' malessâ kalowar roma
ak ayama diberi makamelukut,pètè' èpakà maloko'
kerjaaya cuma tidur melulu,kalakoaa coma tèḍu malolo
haa diberi mim air melulu,coma èberri' èm aè malolo
"setiap hari makadagi melulu, sampai-sampai meadi bosan","sabbhâarè akadhâghi malolo, po'-capo' bhusen"
aira metes sedikit-sedikit,aèa apcap to'-malto'
aiya data berdesir sedikit-sedikit.,aèga ḍâte alesser to'-malto'
perasaau terasa suguh ria,ta prasaaarassa mama oghu
tidak perlu diberi tahu kare sudah meerti semuaa,ta' mambhu bâlâi pola ella artè kabbhi
tidak usah memberi tahu,ta' mambhu alâ-bâlâ
bila lewat di rumahku jaalupa mampir.,molèbât è ta rama jhâ' loppa mampèr
barakali bisa dimeerti.,mabi bisa èkaghâli
ayama cepat diusir agar tidak berak di si,ajâmma dhuli ghesso ma' lè ta' amao'è kaa'
"kuru burua sudah kotor, baak tahi ya meeri.","koro ma' ella kotor, bâya' mao' sè kerrè"
maata ora baak.,maaddhâ orè bâya'
"alakah sea hatiku, kau hadir mempakkadirimu.","mahâ'â pèragghâ atè bulâ, dhika ḍâte matao robâ"
ya memasa tali terlalu reah,sè masa talè kemahâbhân
"sudah diperiati jaameiki pohoasam, jika tidak meearkasemoga akajatuh","marè èbâlâi jhâ' è'-è'abhuka accem, mota' èḍiaghi mahâr pas labu"
semoga cepat sembuh!.,mahâr lekkassâ bârâs!
mai di suai,mai è soay
mai dibawah air terjun,mai èbâbâ aè taa'
kakak perempuau setiap pagi memaikabayia,"ta embhuk sabbhàlagghu maii bhâji ,"
beera merah putih.,mairâ mèra potè
mas seperti gula,màs mara ghulâ
mas seperti madu,màs mara maddhu
obat ya dimim saat cocok.,obhât sè èèm maaoghu
memukaua di jalan,maghi obâ è jhâlân
makaa jaabertikah ah.,maka jhâ' ala-pola
kakak akapergi ke pasar uuk membeli makauuk itik,kaka' makaddhâ ka pasar mellèa pakaa bhibhik
cepat pergilah!,dhuli la kat-makat!
mau pergi kema.,makaddhâ ka kamma?
makaa kamu kok baik terhadap saya.,malo ba' beccè' ḍâ' sèko'
sekara saya ragu-ragu mau pula kare takut hujaderas.,satèya sèko' mama sè molèa pola tako' ojhâdherres
"perjaka kecil dawata belia, bermaimaihaa di halamarumah saat malam dibawah sir rembula","laè ka' bâmahâ pottrè, èmaèghuè tàya bâjâ malem è tèra' bulân"
"kucia bermeo-meo, mukibelum diberi maka",kocèa o-maoa ma' pola ghi' ta' èberri' akan
ibu meaji Al-Quran,èbhu maos Al-Quran
ayah membaca surat,rama maos serrat
pamamembaca kora,ghuttè maos koran
ayo cepat pula,mara dhuli molè
ayo jaabergurau.,mara jhâ' aghiyâk
badau meria semuaa.,ta bhâdhâmaraa' kakabbhi
membuat bara api deabatok kelapa,aghâbây marḍâ ḍâri bhâṭok
kalau seda marah kelihatasaat mekutkan,mopegghel katocè' marèèssâ
jaameari gara-gara.,jhâ' arè marghâ
pisaa ku merekah taaa sudah masak.,"gheḍḍhâa kò maroka, tahâ ella massa'"
di suatu masa,è sètto masa
masa sudah pula?,masa' la molè?
masa ora kaya tidak membayar pajak?.,masa' orè soghi ta' majâr pajhek?
sepertia baak bara bawaaya,masè bâya' bâghibâa
sepertia masih saya,masè ghi' èman
masuk ke dalam rumah,maso' ka dâlem roma
bulu mataa dimaskarai.,bulu mata èpasaè maskara
magaa masak di poho bukahasil peraman,"pao massa' attas, bâè ollè okebbhân"
jaamemetik duriaya masih belum masak.,jhâ' molo dhurisè ghi' ta' massa'
belum masak.,ghi' ta' massa'
tidak mesti begitu.,ta' mastè ḍâ' iyâ
mataharia sudah terbit dari arah sebelah timur,mataarè ella ombâr ḍâri moghi tèmor
mataharia sudah tegelam,mataarè ella compet
mati mampus,matè bhâbhâr pèsan
ketagihamim kopi,mato èm kopi
kalau diberi satu kali pasti kamu ketagiha,moèberri' sakalèapastè bâ' mata
meapa diambil?.,arapa mè' èkala?
"kok lari, mukitakut!.","mè' buru, pola tako' !"
memijat bahua ya ilu.,mèeet bhâu sè èlo
kare tidak dibelikamaimai adikku ambek lalu diam terpaku.,pola ta' èmellèaghi èmaè ta alè' ambhul pas meddhet
k membeli telur tiga butir diwarua mbok Tija,emba mellè tellor teilo mègghi'è bâruaemmo' Tija
membeli durialima puluh ribu dapat lima buah tapi kecil-kecil.,mellè dhurisèket èbu ollè lèma mègghi' tapè ̀'-kè̀'
mekap buru mekap capu.,mèghâ' ma' mèghâ' sèsèt
bua mawar mulai mekar.,kembhâ mabâr molaè mekkar
makaa jaakal-kal!.,mèla jhâ' betambe!
hiduku iusasampai meleleh kare seda sakit pilek.,ta èlo amèro'adhâghâ mèlèr pola prappa' pilek
"suguh sesara hatia, oh jaatega aterhadap ak ya tidak mempuai ayah daibu, oh kasihalah!.","mellas oghu atè, du jhâ' ghâ-tèghâ ka ka' sè ta' ai' bhuppa', bhâbu', ḍu kàserrè!"
layaaya diulur paa sampai kelihatakecil.,lajâaa èolor lahâ sampè' mellèk
ak Pak lurah itu kal sekali.,a' Pa' klèburowa cè' mellèa
sehabis berlari-lari semua badaberkeriat.,marè ka' berka'abhâdhâmello kabbhi
jatuh dari atas poho taaya patah.,labu ḍâri attas ka'bhuka'ataa melsat
bermimpi digigit ular,amèmpè èkèkkè' olar
terbawa dalam mimpi,teghibâ ḍâlem mèmpè
"adikku bermimpi dibawa goruwo, lalu berteriak-teriak.","ta alè' amèmpè èghibâ gooruwo, pas dhâghâ arat-tarat"
sebagai persembahataa setia uuk kekasih ya caik,mèka paèsto kaator ka alè' sè raddhin
sebagai persembahataa setia dari dulu sampai sekara.,mèka paèsto ḍâri lambâ' ka satèya
dahia beol terauk ke dii.,ḍâi meol taghudhuk ka tèmbo'
kalau terlalu baak makagadu bisa meakibatkamabuk.,mobâya' akaghâḍḍhu bisa èkamehem
saya tidak meear.,kaulâ ta' mèer
kare dimarahi lalu migat dari rumah.,pola èghighiri lajhu mèghât ḍâri roma
memaa tera buladi halamarumah.,abâs tèra' bulâè pameka
peme,orè sè mea
tiga puluh met,telle polo meèt
"biasaa kalau malam Jumat, baak ora membakar kemea","biasa momalem jhuma'at, rè-orè paḍâ obbhâr mèyan"
membeli pakaiabermerek teua mahal.,mellè kalambhi sè amèrek tao lara
memerah susu sapi.,mèrèt soso sapè
meapa terke kepada saya.,ma' pas merrè ḍâ' sèko'
tamaya setiap pagi diberi pupuk.,tameaa bhâlagghu èberri' mès
bila ke pasar saya ma memesaikalayur,moḍâ' pasar sèko' messea jhuko' lajur
pesaadua makuk soto.,messeghi ḍuwâ' tobu soto
"tidak mesti begitu, ya kha.","ta' mestè ḍâ' iyâ, ta' iyâ?"
layaaya diulur paa sampai kelihatakecil.,lajâaa èolor lahâ sampè' mettèk
memetik bua melati.,mèk kembhâ malatè
digali sampai dalam baru keluar air,èkallè dhâghâ ḍâlem bhuru metto aè
kakia tertusuk duri sampai keluar darah,soko tacoco' ḍhri dhâghâ metto ḍârâ
heak perdi kema?,mèyossâ ḍâ' ka'dimma?
mau pergi kerumah aa.,mèyossâ ka dhâlem èpopaheean
semoga dikaruai keselamata,moghâ èparèè kasalameddhân
sejak masih kak-kak,molaè ghi' ka'
"sa cepat pula, saya bosa","kalla lèmolè, sèko' bhusen"
perutku mulas kare tadi malam terlalu baak makarujak.,"ta tabu' moles, amarghâ malemma akarojhâk cè' bâya'"
kepada ya mulià,kaator ḍâ' sè moljâ
meski kecil ak itu mea-mea bera.,tekkaa kè̀' ka' rowa lo'-molo' bâal
ya meuri sepeda motor kalau bukatetaga seiri pasti ora dari jauh,sè èco' sapèḍa motor molo' tataghâ dhibi' pastè orè jhâu
kalau tidak ya kaatau ya kiri.,molo' sè kaaotabâ sè kacèr
ayam berwar putih mulus,ajâm potè molos
mumpu pua ua segera beli rumah.,mompo ai' pèssè dhuli kabelli roma
jika meauk segera tidur,moaok dhuli tèḍu
jika luka segera diobati,moloka dhuli tambhâi
jika keluar lalu tutup piua,mokalowar pas èep labâa
jika kepuaaya disembuika milik ora laidiambil.,"moai' dhibi' èèrrep, ai' orè èkala'"
selagi masih muda rajiah bersembahya.,mopo ghi' oḍâ pabhâjhe sè abhâjâ
memukul bertubi-tubi sampai bekak membiru.,moor dhâghâ beddhe
mush sir dipikirau.,mos sèr è eaebulâ
"aku dakamu harus pula, i dimarahi oleh bapak","sèko' moso bâ' kodhu molè, ḍâgghi' èghighiri eppa'"
mati ditusuk deapisau pehabisan,mate ècoco moso toḍi' peabâsân
"bila dibaikadeai, lebih baik ya berwar merah","moèḍhi-bhâhi moso rèya, ao'asè abâr mèra"
oleh kakak disuruh memberi makaayam.,moso kaka' èsoro makà ajâm
buah magis sudah tidak musim.,buwâ maghis ella motos
wajaha bercucurapeluh.,mowa ali ghili pello
jaamembua sampah di suai,jhâ' mowa sarpa'aè soay
aka ora segera dimaika itu bajua ada di lemari,"' orè dhuli ḍi-paii, rowa' klambhi bâḍâ è lomarè"
k! kamu kamu berhati-hatilah.,'! bâ' bi' astètè
"bila membeli seharusa mewar terlebih dahulu, agar tidak terlaur membayar kemahala","molè-mellè kodhu bâr ghâllu, ma' lè ta' talauk majâr ralara"
bi Muhammad SAW,bbhi Muhammad SAW
meambu be ya putus.,bhu ola' sè pegghâ'
saya tidak meerti meapa dirimu selalu marah saja.,"ta' mèer bulâ, apè dhika aso-kso bhâi "
kalau musim pehujabaak ora tidak mekap ikakare ombak di teah laut saat besar.,"mombhârâ' bâya' orè ta' amajâ, marghâ ombâ' è tea tasè' cè' rajâ"
aka ya seda sakit itu seri meis.,a' sè prappa' sakè' rowa dhujâèsân
tidak perlu diberitahu sudah meerti.,ta' ghièbâlâi ella tao
tiba di sa,pa' ka dissa
"seaaia tidak pula, kamu meapat pembagiaua dari k","pa'a ta' molè, bâ' ollè dhu'umapèssè gâri emba bì'"
"seaaia tidak meusik-usik, tidak akadimarahi.","pa'a ta' rok-èrok, ta' kèra èghighiri"
meapa aa tidak meerti-erti juga,apè dhika pas ta' ḍhik artè
apa ya diraguka,pè sè è kamama
si basah sedikit,sè' emem aè
melihat ora bertekar,̀la'è orè atokar
melihat bayaaya seiri.,̀la'è jâ-bâjâa dhibi'
mèmba air disumur ya dalam.,̀mbâ aè è somor sè ḍâlem
memukaua di teah jalan,mmo pèssè è tea jhâlân
haa begi.,̀ ḍa' iyâ
burua higap dirai pohoasam,ma' ̀ghâ'è raa' accem
semua badasepertia akajatuh.,sàrbhâ bhâdhâkadhi sè robbhuâ
saya meiaimu.,bulâ ̀ser ka dhika 
ak kecil laki-laki kalau kei biasaa kemaluaya mega.,"'-ka' lakè' kè̀' moakemmè, biasa pellèrra ace"
mehadap ke timur,aḍḍhep ka tèmor
mehadap ke barat,aḍḍhep ka bârâ'
mehadap ke selatan,aḍḍhep ka lao'
meahadap ke utara.,aḍḍhep ka ḍâjâ
meadoweda jahe.,adhù biddhâ jhâi
"kalau mema bersalah meaku saja, jaaberboho.","molakar sala ako bhài,jhà' alè"
kakekku meiumi seluruh wajah cucua.,ta emba aloskos kompoyya
dimusim kemarau daupohojati semuaa berjatuha,è mosèm ̀mor ḍâua jhâtè alotorakabbhi
kalau mea air jaaterlalu baak i bisa meluap-luap.,"moèlèaè jhâ' a'-bâya', ḍâgghi' wa-alowa"
ora gila ya biasa berada di jalapertigaatadi malam meamuk kare digagu oleh ak-ak ya lewat disitu.,orè ghilâ sè biasa bâḍâ è partello malemma mok-amok pola èca-aa bi''-ka sè lèbât è jâḍiyâ
kepitia cepat diikat takut meepit.,kapètèa dhuli talèè tako' ampè'
"lama tidak bertemu, kare saat riu sali berpeluka","abit ta' atemmo, sakè kerroa pel-ampel"
mehamili aka ora,meau a' orè
jaameakiti ora miskii ke kualat.,jhâ' àajâ orè mèskè ḍâgghi' keè bâlât
kalau bergurau jaasali mehaam i bisa bertekar suguha,"moaghâjâ' jhâ' pata aem, râgghi' bisa atokaran"
barakali aa sudah meerti,ara dhika pola artè
barakali belum maka,"ara ghi' ta"" akan"
meis sambil berbicara terbata-bata.,ès sambi acaca a' ara'a'
bia di lait kelihataputih berkelap-kelip saat iaha.,bia è laè' kaoladhâpotè ḍhâp-areḍḍhâp cè' pema
bia bercahaya berkilaua laita bersih memperiah alam.,"bia tèp-arettèp, laè' bhersè mapema alam"
setelah berlari-lari tubuhku terasa pegal semua.,marè ka'berka'ata bhâdhâarassa o-aroo kabbhi
jaasekali-kali pergi.,jhâ' sa-asaè èar
"kalau ik sepeda deahati-hati, takut mebrak pepohoya ada didekata.",mompa' sapèḍa bi' astètè tako' bra' ka'-bhukaaèseddhi'
baru saja tampak.,ghi' bhuru aton
ibu data dari pasar membawa baak oleh-oleh,èbu' ḍâte ḍâri pasar èbâ bâya' lè-ollè
meebas tikar ya kotor.,ebbhes tèker sè rombu
meebor sumur sampai dalam.,ebbor somor sampè' ḍâlem
meuri ua temaya seiri.,èco' pèssè kaca dhibi'
bayia sudah baudari tidur,bhâji' ella èḍi
saya meiumi bau bakai tikus.,sèko' èḍi bâu bhâṭaa tèkos
ayo jaamembuat terkejut,gbâjhâ jhâ' jhitejjhidhi
saya sampai terkejut kare ketakuta,sèko' dhâghâ ejjhit pola katako'an
mim air es,èm aè ès
meiip ora ya seda berkasih-kasihan,èèp orè apacaan
meiip ora mai.,èèp orè mai
meipas bara api supaya meala lebih besar.,eppay marḍâ sopajà rebbhâ
meirim bara dagaake kota Surabaya,èrèm bhârâ dhâghâadâ' koṭṭa Sorbhâjâ
meirim oleh-oleh kepada aka ya ada di desa.,èrèm lè-ollè ka a' sè bâḍâ è dhisa
ikut serta,"rè-èrè , ro' buè' "
taaya mekerut are terlalu lama beream di dalam air.,taa erker pola abit ghâllu acarep è ḍâlem aè
awas jaameusik-usik pekerjaaora di si.,sèa' jhâ' rok-èrok kalakoa orè è ḍia'
bersembui dibelaka rumah,èrrem èbuḍi roma
bersembui di semak-semak,èrrem è bhut-ombhut
bersembui diatas atap mmah.,èrrem èattas ghâbâan
saat kuat mee kayu ya berat itu.,cè' kowaddhâ sè ètè kaju berrâ'
